#low m_p and x_p: Loose
#high m_p and x_p: Tight
#num time datasize slackmetric funclistlen  m_p  m_u  x_p  x_u 
1    2     100      400         2            1    1    0    0
2    7     10       30          2            0.1  0.1  0    0
3    12    10       30          2            10   10   0    0
4    20    100      200         2            1    1    0    0
5    100   40       120         2            0.1  0.1  0    0
6    110   40       120         2            10   10   0    0
7    120   20       400         2            1    1    0    0
8    130   80       150         2            1    1    0    0
9    235   20       100         2            0.1  0.1  0    0
10   240   20       100         2            10   10   0    0
11   245   20       50          2            1    1    0    0
