100 0.019396
200 0.020274
300 0.025171
400 0.031082
500 0.041700
600 0.050488
700 0.053888
800 0.061448
900 0.063064
1000 0.070041
1100 0.074500
1200 0.086610
1300 0.082925
1400 0.090577
1500 0.095408
1600 0.102838
1700 0.109188
1800 0.126808
1900 0.139433
2000 0.119738
2100 0.132541
2200 0.129650
2300 0.143132
2400 0.143795
2500 0.163872
2600 0.159020
2700 0.183675
2800 0.179041
2900 0.189599
3000 0.186670
3100 0.220319
3200 0.198604
3300 0.212621
3400 0.217055
3500 0.221480
3600 0.228418
3700 0.268187
3800 0.243026
3900 0.246343
4000 0.267517
4100 0.297795
4200 0.265369
4300 0.298705
4400 0.261664
4500 0.256676
4600 0.282466
4700 0.313650
4800 0.276991
4900 0.281917
5000 0.286054
5100 0.302115
5200 0.409033
5300 0.386654
5400 0.326460
5500 0.313499
5600 0.310365
5700 0.358587
5800 0.340511
5900 0.377575
6000 0.330974
6100 0.400996
6200 0.366901
6300 0.394324
6400 0.386295
6500 0.366145
6600 0.387217
6700 0.460221
6800 0.387025
6900 0.405854
7000 0.413371
7100 0.468707
7200 0.413837
7300 0.481802
7400 0.483568
7500 0.421493
7600 0.433434
7700 0.432639
7800 0.439399
7900 0.539354
8000 0.438443
8100 0.475569
8200 0.536719
8300 0.577719
8400 0.477043
8500 0.494127
8600 0.519543
8700 0.517717
8800 0.502514
8900 0.638261
9000 0.531874
9100 0.525634
9200 0.531245
9300 0.551758
9400 0.575265
9500 0.549634
9600 0.543848
9700 0.638869
9800 0.547916
9900 0.557705
